,MLSAreaMajor,Stories,ViewYN,NewConstructionYN,Levels,PoolPrivateYN,BuyerOfficeAOR,GarageSpaces,LotSizeAcres,LotSizeSquareFeet,LotSizeArea,BuyerOfficeName,BuyerAgentFirstName,BuyerAgentMlsId,StreetNumberNumeric,UnparsedAddress,City,YearBuilt,FireplaceYN,BuyerAgentLastName,LivingArea,Latitude,Longitude,BuyerAgentAOR,BathroomsTotalInteger,ClosePrice,CloseDate,PropertyType,MlsStatus,ParkingTotal,PropertySubType,CountyOrParish,BedroomsTotal,StateOrProvince,PurchaseContractDate,ContractStatusChangeDate,PostalCode
0,APPV - Apple Valley,1.0,False,False,Unknown,False,TriCounties,2.0,0.6428,28000.0,28000.0,KW Vision,James,TRSUDAJAM,0.0,0 Quantico Road,Apple Valley,1979.0,False,Sudarsono,1576.0,34.53678,-117.273839,RanchoSoutheast,2.0,35000.0,2025-02-21,Land,Closed,2.0,Unknown,San Bernardino,3.0,CA,2022-01-10,2025-02-21,92307
1,259 - Moreno Valley,1.0,False,False,Unknown,False,InlandValleys,2.0,0.91,39640.0,39640.0,"KAREN PIERCE, BROKER",MANUEL,ivzamoman,24255.0,24255 Sunnymead Boulevard,Moreno Valley,1979.0,False,ZAMORANO,1576.0,33.938547,-117.239639,InlandValleys,2.0,625000.0,2025-02-14,Land,Closed,2.0,Unknown,Riverside,3.0,CA,2024-11-08,2025-02-14,92553
2,91942 - La Mesa,1.0,False,False,One,False,PacificSouthwest,2.0,0.1674,7264.5,7020.0,Coldwell Banker West,Sheetal,809976,4750.0,4750 Dana Dr,La Mesa,2021.0,False,Gandhi,2340.0,32.76537972,-117.04348629999998,SanDiego,4.0,875000.0,2025-02-11,Residential,Closed,6.0,SingleFamilyResidence,San Diego,4.0,CA,2021-01-25,2025-02-11,91942
3,91942 - La Mesa,1.0,False,False,One,False,SanDiego,2.0,0.1674,7264.5,7020.0,LENSKA Realty,Lenska,SAND-649841,4740.0,4740 Dana Dr,La Mesa,2021.0,False,Bracknell,2165.0,32.76503815,-117.0435681,SanDiego,4.0,875000.0,2025-02-14,Residential,Closed,4.0,SingleFamilyResidence,San Diego,5.0,CA,2021-01-14,2025-02-14,91942
4,91942 - La Mesa,1.0,False,False,One,False,SanDiego,2.0,0.1674,7264.5,7020.0,Heritage Homes San Diego,Jason,SAND-693007,4730.0,4730 Dana Dr,La Mesa,2021.0,False,Piske,2158.0,32.76503141,-117.04325177,SanDiego,3.0,849000.0,2025-02-18,Residential,Closed,4.0,SingleFamilyResidence,San Diego,4.0,CA,2021-01-25,2025-02-18,91942
5,340 - Desert Hot Springs,1.0,False,False,Unknown,False,OrangeCounty,2.0,8.8,383328.0,8.8,Atlas Properties,Dustin,Swidndus,0.0,0 Hacienda & Mesquite,Desert Hot Springs,1979.0,False,Widner,1576.0,33.953174,-116.495726,OrangeCounty,2.0,900000.0,2025-02-14,Land,Closed,2.0,Unknown,Riverside,3.0,CA,2025-01-20,2025-02-14,92240
6,699 - Not Defined,1.0,False,False,Unknown,False,Mlslistings,2.0,2.64,114998.4,114998.4,Sotheby's Intl Rlty,Dana,ML5072057,0.0,0 Stevens Canyon Road,Cupertino,1979.0,False,Cappiello,1576.0,37.29553129999999,-122.0843035,Mlslistings,0.0,120000.0,2025-02-13,Land,Closed,0.0,Unknown,Santa Clara,3.0,CA,2017-11-17,2025-02-13,95014
7,OSOS - Los Osos,1.0,False,False,Unknown,False,SanLuisObispoCoastal,2.0,2.07,90169.0,90169.0,"Dianne Blanchard, Broker",Steve,sc01068681,2620.0,2620 Pecho Valley Road,Los Osos,1979.0,False,Auslender,1576.0,35.305928,-120.857493,SanLuisObispoCoastal,2.0,699000.0,2025-02-05,Land,Closed,2.0,Unknown,San Luis Obispo,3.0,CA,2024-12-31,2025-02-05,93402
8,SRCAR - Southwest Riverside County,1.0,False,False,Unknown,False,TheInlandGateway,2.0,10.39,452588.0,452588.0,KW The Lakes,Pablo,IGCORNPAB,1.0,1 Mayberry,Hemet,1979.0,False,Cornejo,1576.0,33.739169,-116.898484,TheInlandGateway,2.0,500000.0,2025-02-13,Land,Closed,2.0,Unknown,Riverside,3.0,CA,2024-11-14,2025-02-13,92544
9,92071 - Santee,1.0,False,False,Unknown,False,SanDiego,2.0,0.1674,7264.5,7020.0,Pacific Sotheby's International Realty,Jerry,SAND-656549,0.0,0 Spring Canyon Rd,San Diego,1979.0,False,Mc Caw,1576.0,32.921850199999994,-117.0626489,SanDiego,0.0,195000.0,2025-02-18,Land,Closed,0.0,Unknown,San Diego,3.0,CA,2025-01-29,2025-02-18,92071
10,71 - Tustin,1.0,False,False,Unknown,False,OrangeCounty,2.0,0.51,22216.0,22216.0,Bayside Properties,Richard,SDOMIRIC,17632.0,17632 Irvine Boulevard,Tustin,1972.0,False,Domines,1576.0,33.74801,-117.824665,OrangeCounty,2.0,819.0,2025-02-07,CommercialLease,Closed,2.0,Office,Orange,3.0,CA,2025-02-07,2025-02-07,92780
11,PLM - Palmdale,1.0,False,False,Unknown,False,CitrusValley,2.0,0.5716,24897.0,24897.0,Option One Real Estate,Marcelo,CV38211,3.0,3 Street East and Palmdale Boulevard,Palmdale,1979.0,False,Griffonetti,1576.0,34.579229999999995,-118.12413,Southland,2.0,196000.0,2025-02-26,Land,Closed,2.0,Unknown,Los Angeles,3.0,CA,2025-01-30,2025-02-26,93550
12,699 - Not Defined,1.0,False,False,Unknown,False,Mlslistings,2.0,0.14,6098.0,6098.0,Team Lissner Real Estate,Dave,ML5082712,1694.0,1694 Forman Avenue,San Jose,1959.0,False,Lissner,1565.0,37.25913724,-121.90867347,Mlslistings,2.0,4495.0,2025-02-28,ResidentialLease,Closed,2.0,Unknown,Santa Clara,3.0,CA,2025-02-27,2025-02-28,95124
13,92009 - Carlsbad,1.0,False,False,One,False,NorthSanDiegoCounty,0.0,0.532,23173.0,23173.0,Compass,Jaime,102150,7319.0,7319 Estrella De Mar Road 12,Carlsbad,2006.0,False,Costa,1810.0,33.091604,-117.267119,NorthSanDiegoCounty,3.0,1031000.0,2025-02-28,Residential,Closed,0.0,Condominium,San Diego,2.0,CA,2025-02-01,2025-02-28,92009
14,699 - Not Defined,1.0,False,False,Unknown,False,Mlslistings,2.0,0.0467,2035.0,2035.0,Keller Williams Thrive,Jaimal,ML5086586,1183.0,1183 Bitternut Court,San Jose,1971.0,False,Patel,994.0,37.38017572,-121.87036308,Mlslistings,1.0,900000.0,2025-02-28,Residential,Closed,2.0,Townhouse,Santa Clara,3.0,CA,2025-02-28,2025-02-28,95131
15,183 - Vista Del Oro,2.0,False,False,Two,False,SouthBay,2.0,0.1033,4501.0,4501.0,Rodeo Realty,Elaine,sbmallela,2211.0,2211 S Cabrillo Avenue,San Pedro,1962.0,False,Mallon,2545.0,33.724000000000004,-118.294924,SouthBay,3.0,1100000.0,2025-02-28,Residential,Closed,3.0,SingleFamilyResidence,Los Angeles,4.0,CA,2025-01-10,2025-02-28,90731
16,Unknown,1.0,False,False,One,False,BayEast,2.0,0.1157,5040.0,5040.0,Legacy Real Estate & Assoc.,Kristy,CCBE-206516251,15216.0,15216 Edgemoor St,San Leandro,1950.0,False,Peixoto,1692.0,37.68755592,-122.15011398,ContraCosta,2.0,760000.0,2025-02-28,Residential,Closed,2.0,SingleFamilyResidence,Alameda,4.0,CA,2025-02-28,2025-02-28,94579
17,699 - Not Defined,1.0,False,False,Unknown,False,Mlslistings,2.0,0.207,9015.0,9015.0,Keller Williams Realty,Unknown,ML5101201,22698.0,22698 Picador Drive,Salinas,1965.0,False,The Ruiz Group,2051.0,36.60425295,-121.6993337,Mlslistings,3.0,1325000.0,2025-02-28,Residential,Closed,2.0,SingleFamilyResidence,Monterey,5.0,CA,2025-02-28,2025-02-28,93908
18,N7 - West Bay - Santa Ana Heights,1.0,False,False,One,False,Laguna,4.0,0.3489,15200.0,15200.0,"DOUGLAS ELLIMAN OF CALIFORNIA, INC.",Andy,LSTAVAND,1736.0,1736 Marlin Way,Newport Beach,1959.0,False,Stavros,3746.0,33.637536,-117.895599,Laguna,5.0,4750000.0,2025-02-26,Residential,Closed,4.0,SingleFamilyResidence,Orange,6.0,CA,2025-01-31,2025-02-26,92660
19,313 - La Quinta South of HWY 111,1.0,False,False,One,False,CaliforniaDesert,3.0,0.39,16988.0,16988.0,Compass,Jon,CDAR-D72247,56933.0,56933 Village Drive,La Quinta,2005.0,False,Caruana,4168.0,33.636362,-116.23391399999998,CaliforniaDesert,6.0,2200000.0,2025-02-28,Residential,Closed,3.0,SingleFamilyResidence,Riverside,4.0,CA,2025-02-28,2025-02-28,92253
20,132 - N Torrance - West,1.0,False,False,One,False,SouthBay,2.0,0.1256,5469.0,5469.0,Keller Williams South Bay,Robert Clyde,SBWALAROB,17113.0,17113 Eastwood Avenue,Torrance,1952.0,False,Walatka,1344.0,33.874505,-118.345321,SouthBay,2.0,1067500.0,2025-02-28,Residential,Closed,2.0,SingleFamilyResidence,Los Angeles,3.0,CA,2025-02-28,2025-02-28,90504
21,AG Mesa,1.0,False,False,Unknown,False,PismoCoast,2.0,1.08,47044.0,47044.0,Keller Williams Realty Central Coast,Chris,PI02023880,2111.0,2111 Willow,Arroyo Grande,1979.0,False,Cucchiara,1576.0,35.047138000000004,-120.573103,PismoCoast,2.0,275000.0,2025-02-28,Land,Closed,2.0,Unknown,San Luis Obispo,3.0,CA,2025-02-28,2025-02-28,93420
22,C14 - Santa Monica,1.0,False,False,"ThreeOrMore,MultiSplit",False,OutOfAreaBoard,2.0,0.1146,4991.0,4991.0,Compass,Kristin,CLW-C123711,909.0,909 Arizona Avenue 2,Santa Monica,1980.0,False,Neithercut,1611.0,34.021986,-118.491922,BeverlyHillsGreaterLa,3.0,1531000.0,2025-02-28,Residential,Closed,2.0,Condominium,Los Angeles,2.0,CA,2025-02-28,2025-02-28,90401
23,C14 - Santa Monica,2.0,False,False,Two,False,OutOfAreaBoard,2.0,0.1653,7200.0,7200.0,Compass,Sarah,CLW-X61912,2412.0,2412 Pier Avenue,Santa Monica,2019.0,False,Pearson,3902.0,34.012865000000005,-118.457218,Malibu,5.0,5335000.0,2025-02-28,Residential,Closed,2.0,SingleFamilyResidence,Los Angeles,5.0,CA,2025-01-30,2025-02-28,90405
24,321 - Rancho Mirage,1.0,False,False,Unknown,False,CaliforniaDesert,2.0,0.14,6098.0,6098.0,Bennion Deville Homes,Bomgardner,CDAR-d84348,10313.0,10313 Sunningdale Drive,Rancho Mirage,1985.0,False,Blenkinsop and As...,2024.0,33.792832000000004,-116.425575,CaliforniaDesert,2.0,685000.0,2025-02-28,Residential,Closed,2.0,Condominium,Riverside,2.0,CA,2025-01-31,2025-02-28,92270
25,Unknown,1.0,False,False,One,False,ContraCosta,2.0,0.3444,15004.0,15004.0,Coldwell Banker,Michelle,CCBE-159526159,62.0,62 Vista Dr,Danville,1956.0,False,Fanto-Chan,1615.0,37.82355406,-121.98444563,ContraCosta,2.0,1784000.0,2025-02-28,Residential,Closed,2.0,SingleFamilyResidence,Contra Costa,3.0,CA,2025-02-28,2025-02-28,94526
26,699 - Not Defined,1.0,False,False,Unknown,False,Mlslistings,2.0,0.213,9278.0,9278.0,David Lyng Real Estate,Liz,ML5078267,104.0,104 Ross Street,Santa Cruz,1954.0,False,Foster,1842.0,36.97821463,-122.04182225,Mlslistings,2.0,1800000.0,2025-02-28,Residential,Closed,2.0,SingleFamilyResidence,Santa Cruz,3.0,CA,2025-02-28,2025-02-28,95060
27,C06 - Brentwood,1.0,False,False,MultiSplit,False,BeverlyHillsGreaterLa,2.0,0.2682,11684.0,11684.0,The Beverly Hills Estates,Rayni,CLW-X70280,249.0,249 S Westgate Avenue,Los Angeles,2009.0,False,Williams,9501.0,34.058795,-118.471792,BeverlyHillsGreaterLa,9.0,9500000.0,2025-02-28,Residential,Closed,2.0,SingleFamilyResidence,Los Angeles,6.0,CA,2025-02-28,2025-02-28,90049
28,TOE - Thousand Oaks East,2.0,False,False,Two,False,OutOfAreaBoard,2.0,0.0516,2248.0,2248.0,Berkshire Hathaway HomeServices California Properties,Howard,CLW-X68059,3173.0,3173 White Cedar Place,Thousand Oaks,1995.0,False,Zuckerman,2248.0,34.220040999999995,-118.816482,Conejo,3.0,1300000.0,2025-02-28,Residential,Closed,2.0,SingleFamilyResidence,Ventura,4.0,CA,2025-02-28,2025-02-28,91362
29,1A - Seal Beach,2.0,False,False,Two,False,PacificWest,2.0,0.1052,4581.0,4581.0,First Team Real Estate,Tom,PMIKATOM,12306.0,12306 Provincetown Street,Seal Beach,2001.0,False,Mikalson,3592.0,33.783475,-118.067771,OrangeCounty,4.0,2250000.0,2025-02-27,Residential,Closed,2.0,SingleFamilyResidence,Orange,6.0,CA,2025-02-27,2025-02-27,90740
30,Unknown,1.0,False,False,Unknown,False,SierraNorthValley,2.0,0.29,12632.0,12632.0,Capital Rivers Commercial Inc,Carrie,ch157010330,2531.0,2531 Forest Avenue 100,Chico,2002.0,False,Welch,1576.0,39.71834000000001,-121.794429,SierraNorthValley,2.0,2500.0,2025-02-28,CommercialLease,Closed,2.0,Office,Butte,3.0,CA,2025-02-28,2025-02-28,95928
31,VIC - Victorville,1.0,False,False,One,False,CitrusValley,2.0,0.1663,7242.0,7242.0,CHAMPIONS REAL ESTATE,Yvette,C21197,2812.0,Unknown,Victorville,2024.0,False,Cruz,1604.0,34.450928999999995,-117.397941,SouthwestRiversideCounty,2.0,492900.0,2025-02-28,Residential,Closed,2.0,SingleFamilyResidence,San Bernardino,3.0,CA,2025-02-17,2025-02-28,92392
32,C39 - Playa Vista,1.0,False,False,One,False,OutOfAreaBoard,2.0,1.5671,68262.0,68262.0,Realty One Group United,Vivian,CLW-X65476,13200.0,13200 Pacific 207,Playa Vista,2003.0,False,Lesny,1281.0,33.970733,-118.42714,BeverlyHillsGreaterLa,2.0,900000.0,2025-02-28,Residential,Closed,2.0,Condominium,Los Angeles,2.0,CA,2025-02-27,2025-02-28,90094
33,Unknown,1.0,False,False,Unknown,False,Paradise,2.0,0.3,13068.0,13068.0,"CAPITAL GROUP REALTY, INC.",Vadim,PAVADIM,5660.0,5660 Paradise Avenue,Paradise,1979.0,False,Shkrobanets,1576.0,39.752453,-121.596868,SierraNorthValley,2.0,30000.0,2025-02-28,Land,Closed,2.0,Unknown,Butte,3.0,CA,2025-02-27,2025-02-28,95969
